P1,P2,P3,P4,P5,P6,P7,P8
0,0,0,0,100,19,152,203
0,0,0,0,64,19,155,170
0,0,0,0,180,19,145,20
0,0,0,0,144,19,112,207
0,0,0,0,32,19,66,49
0,0,0,0,108,19,47,106
0,0,0,0,136,19,55,142
0,0,0,0,136,19,27,114
0,0,0,0,240,19,6,197
0,0,0,0,112,18,230,36
0,0,0,0,24,18,131,105
0,0,0,0,44,18,117,111
0,0,0,0,68,18,117,135
0,0,0,0,144,18,149,243
0,0,0,0,168,18,140,2
0,0,0,0,56,18,167,173
0,0,0,0,56,18,197,203
0,0,0,0,180,18,152,26
0,0,0,0,204,18,152,50
0,0,0,0,32,18,151,133
0,0,0,0,76,18,133,159
0,0,0,0,88,18,103,141
0,0,0,0,180,18,174,48
0,0,0,0,24,18,191,165
0,0,0,0,4,18,115,69
0,0,0,0,76,18,164,190
0,0,0,0,180,18,119,249
0,0,0,0,204,18,147,45
0,0,0,0,24,18,158,132
0,0,0,0,236,18,129,59
0,0,0,0,12,18,114,76
0,0,0,0,132,17,255,80
0,0,0,0,232,17,189,114
0,0,0,0,184,17,143,20
0,0,0,0,188,17,132,13
0,0,0,0,160,17,115,224
0,0,0,0,116,17,73,138
0,0,0,0,28,17,66,43
0,0,0,0,36,17,43,28
0,0,0,0,84,16,204,236
0,0,0,0,148,16,171,11
0,0,0,0,156,16,173,21
0,0,0,0,80,16,15,43
0,0,0,0,240,15,226,157
0,0,0,0,176,15,221,88
0,0,0,0,144,16,191,27
0,0,0,0,208,17,128,29
0,0,0,0,12,17,159,120
0,0,0,0,252,18,38,240
0,0,0,0,84,18,175,209
0,0,0,0,44,19,5,0
0,0,0,0,60,19,5,16
0,0,0,0,160,19,52,163
0,0,0,0,40,19,202,193
0,0,0,0,184,20,191,71
0,0,0,0,252,21,2,207
0,0,0,0,0,21,43,252
0,0,0,0,44,21,113,110
0,0,0,0,128,21,183,8
0,0,0,0,64,21,202,219
0,0,0,0,188,21,222,107
0,0,0,0,108,21,253,58
0,0,0,0,156,22,30,140
0,0,0,0,108,22,54,116
0,0,0,0,80,22,64,98
0,0,0,0,144,22,109,207
0,0,0,0,124,22,144,222
0,0,0,0,4,22,179,137
0,0,0,0,44,22,171,169
0,0,0,0,88,22,112,154
0,0,0,0,0,22,35,245
0,0,0,0,16,22,32,2
0,0,0,0,56,22,21,31
0,0,0,0,104,22,16,74
0,0,0,0,124,22,23,101
0,0,0,0,196,22,20,170
0,0,0,0,88,22,8,50
0,0,0,0,248,21,227,172
0,0,0,0,240,21,211,148
0,0,0,0,248,21,236,181
0,0,0,0,60,22,39,53
0,0,0,0,88,22,70,112
0,0,0,0,248,22,187,133
0,0,0,0,88,23,127,170
0,0,0,0,196,23,165,60
0,0,0,0,108,23,207,14
0,0,0,0,244,23,193,136
0,0,0,0,72,23,186,213
0,0,0,0,156,23,176,31
0,0,0,0,100,23,136,191
0,0,0,0,156,23,134,245
0,0,0,0,124,23,77,156
0,0,0,0,188,23,46,189
0,0,0,0,196,23,50,201
0,0,0,0,16,22,130,100
0,0,0,0,40,22,108,102
0,0,0,0,40,20,193,185
0,0,0,0,136,17,38,123
0,0,0,0,72,14,201,219
0,0,0,0,244,13,189,122
0,0,0,0,156,12,63,163
0,0,0,0,208,11,144,39
0,0,0,0,88,9,54,83
0,0,0,0,168,7,181,32
0,0,0,0,64,4,9,9
0,0,0,0,108,2,166,208
0,0,0,0,136,1,34,103
0,0,0,0,140,0,219,35
0,0,0,0,144,0,0,76
0,0,0,0,144,0,0,76
0,0,0,0,144,0,0,76
0,0,0,0,144,0,0,76
0,0,0,0,144,0,0,76
0,0,0,0,144,0,192,12
0,0,0,0,144,1,140,217
0,0,0,0,28,6,166,132
0,0,0,0,76,7,94,109
0,0,0,0,128,7,189,0
0,0,0,0,212,7,174,69
0,0,0,0,108,8,120,168
0,0,0,0,236,9,189,110
0,0,0,0,240,12,0,184
0,0,0,0,48,12,110,102
0,0,0,0,12,14,12,226
0,0,0,0,120,14,188,254
0,0,0,0,104,15,250,45
0,0,0,0,96,16,225,13
0,0,0,0,104,16,241,37
0,0,0,0,40,18,16,6
0,0,0,0,28,18,18,252
0,0,0,0,164,18,70,184
0,0,0,0,4,18,21,231
0,0,0,0,184,18,67,201
0,0,0,0,124,18,106,180
0,0,0,0,164,18,127,241
0,0,0,0,208,18,125,27
0,0,0,0,28,18,161,139
0,0,0,0,168,18,168,30
0,0,0,0,8,18,171,129
0,0,0,0,160,18,233,87
0,0,0,0,128,19,236,59
0,0,0,0,200,19,255,150
0,0,0,0,168,20,38,158
0,0,0,0,200,20,70,222
0,0,0,0,76,20,75,103
0,0,0,0,116,20,70,138
0,0,0,0,56,20,58,66
0,0,0,0,36,20,43,31
0,0,0,0,184,20,27,163
0,0,0,0,220,19,149,64
0,0,0,0,244,18,183,121
0,0,0,0,12,18,168,130
0,0,0,0,224,18,4,178
0,0,0,0,44,17,163,156
0,0,0,0,52,17,153,154
0,0,0,0,176,16,103,227
0,0,0,0,216,16,185,93
0,0,0,0,84,17,76,109
0,0,0,0,132,18,140,222
0,0,0,0,172,18,149,15
0,0,0,0,224,19,124,43
0,0,0,0,36,19,143,130
0,0,0,0,96,19,144,191
0,0,0,0,188,19,176,59
0,0,0,0,132,19,219,46
0,0,0,0,4,20,74,30
0,0,0,0,140,20,117,209
0,0,0,0,48,20,122,122
0,0,0,0,236,20,111,43
0,0,0,0,124,19,94,169
0,0,0,0,152,19,57,160
0,0,0,0,12,17,158,119
0,0,0,0,172,14,146,8
0,0,0,0,192,14,141,23
0,0,0,0,28,14,47,21
0,0,0,0,212,14,91,249
0,0,0,0,16,14,196,158
0,0,0,0,80,14,203,229
0,0,0,0,84,14,179,209
0,0,0,0,148,15,229,68
0,0,0,0,164,15,233,88
0,0,0,0,0,19,114,65
0,0,0,0,60,20,190,202
0,0,0,0,24,20,240,216
0,0,0,0,104,20,240,40
0,0,0,0,200,20,230,126
0,0,0,0,252,20,153,101
0,0,0,0,116,19,229,40
0,0,0,0,52,19,253,0
0,0,0,0,88,20,1,41
0,0,0,0,188,20,83,223
0,0,0,0,200,20,200,96
0,0,0,0,60,20,228,240
0,0,0,0,156,21,108,217
